iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,prev_day_cases,delta
RUS,Europe,Russia,2021-03-24,4433364.0,8769.0,9203.0,94624.0,393.0,401.286,30379.144,60.089,63.063,648.401,2.693,2.75,0.95,,,,,,,,,,1.1850585E8,812.048,,297418.0,2.038,0.031,32.3,tests performed,,,,,225747.0,,,,1547.0,40.28,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,
RUS,Europe,Russia,2021-03-25,4442492.0,9128.0,9119.429,95010.0,386.0,392.0,30441.693,62.549,62.49,651.046,2.645,2.686,0.95,,,,,,,,,337695.0,1.18843545E8,814.362,2.314,302734.0,2.074,0.03,33.2,tests performed,,,,,262004.0,,,,1795.0,40.28,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,8769.0,359.0
RUS,Europe,Russia,2021-03-26,4451565.0,9073.0,9042.429,95410.0,400.0,386.571,30503.865,62.172,61.962,653.787,2.741,2.649,0.95,,,,,,,,,341455.0,1.19185E8,816.702,2.34,304012.0,2.083,0.03,33.6,tests performed,,,,,271820.0,,,,1863.0,40.28,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,9128.0,-55.0
RUS,Europe,Russia,2021-03-27,4460348.0,8783.0,8933.143,95792.0,382.0,386.0,30564.049,60.185,61.213,656.404,2.618,2.645,0.95,,,,,,,,,341365.0,1.19526365E8,819.041,2.339,305276.0,2.092,0.029,34.2,tests performed,,,,,303915.0,,,,2083.0,40.28,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,9073.0,-290.0
RUS,Europe,Russia,2021-03-28,4469327.0,8979.0,8899.429,96123.0,331.0,380.857,30625.577,61.528,60.982,658.672,2.268,2.61,0.95,,,,,,,,,267729.0,1.19794094E8,820.876,1.835,296021.0,2.028,0.03,33.3,tests performed,,,,,345222.0,,,,2366.0,36.57,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,8783.0,196.0
RUS,Europe,Russia,2021-03-29,4477916.0,8589.0,8812.857,96413.0,290.0,371.571,30684.432,58.855,60.389,660.66,1.987,2.546,0.95,,,,,,,,,188733.0,1.19982827E8,822.169,1.293,296726.0,2.033,0.03,33.7,tests performed,1.112435E7,6846664.0,4277686.0,,345222.0,7.62,4.69,2.93,2366.0,36.57,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,8979.0,-390.0
RUS,Europe,Russia,2021-03-30,4486078.0,8162.0,8783.286,96817.0,404.0,369.429,30740.361,55.929,60.187,663.428,2.768,2.531,0.96,,,,,,,,,284123.0,1.2026695E8,824.116,1.947,294450.0,2.018,0.03,33.5,tests performed,1.1183108E7,6886259.0,4296849.0,58758.0,304298.0,7.66,4.72,2.94,2085.0,36.57,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,8589.0,-427.0
RUS,Europe,Russia,2021-03-31,4494234.0,8156.0,8695.714,97219.0,402.0,370.714,30796.249,55.888,59.586,666.183,2.755,2.54,0.96,,,,,,,,,343403.0,1.20610353E8,826.469,2.353,300643.0,2.06,0.029,34.6,tests performed,1.1373572E7,7004336.0,4369236.0,190464.0,282190.0,7.79,4.8,2.99,1934.0,36.57,1.4593446E8,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,8162.0,-6.0
